STT,Năm,Nhu cầu,Quận,Phường,Đường,Diện tích - m2,Mức giá - Tỷ,Số lầu,Hướng nhà,Hướng ban công,Mặt tiền - m,Nội thất,Đường vào - m,Số phòng ngủ,Số toilet,Pháp lý
18,2022,Cần bán,Quận 1,Cô Giang,Nguyễn Khắc Nhu,54,20,,,,,,,,,
19,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Nguyễn Trãi,154.86,92.92,,Tây - Nam,,5,,5,,,
20,2022,Cần bán,Quận 1,Bến Nghé,Lý Tự Trọng,245,158,1,Đông - Nam,,12,,16,1,1,Sổ đỏ/ Sổ hồng
21,2022,Cần bán,Quận 1,Bến Nghé,Lê Thánh Tôn,56,60,4,,,,Trống,,,,Sổ đỏ/ Sổ hồng
22,2022,Cần bán,Quận 1,Đa Kao,Hai Bà Trưng,180,45,4,,,,,,,,Sổ đỏ/ Sổ hồng
23,2022,Cần bán,Quận 1,Bến Nghé,Lý Tự Trọng,46.54,25,,,,,,,,,
24,2022,Cần bán,Quận 1,Bến Nghé,Lý Tự Trọng,80,25,,,,,Đầy đủ,,8,,Sổ đỏ/ Sổ hồng
25,2022,Cần bán,Quận 1,Bến Nghé,Lý Tự Trọng,153,55,4,,,,,,,,
26,2022,Cần bán,Quận 1,Bến Nghé,Lê Thánh Tôn,170,300,10,,,,Cơ bản,,14,15,Sổ đỏ/ Sổ hồng
27,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Phạm Viết Chánh,375,43,,,,,,,1,1,Sổ đỏ/ Sổ hồng
28,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Trần Hưng Đạo,50,37,1,,,,,,,,
29,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Trần Hưng Đạo,360,168,4,Đông - Nam,Đông - Nam,,,,,,
30,2022,Cần bán,Quận 1,Cầu Kho,Nguyễn Cảnh Chân,43.5,10.2,2,,,,,,3,4,
31,2022,Cần bán,Quận 1,Tân Định,Trần Quang Khải,36,5.2,3,,,4,,3,3,3,
32,2022,Cần bán,Quận 1,Đa Kao,Nguyễn Văn Thủ,70.52,35,7,,,,Cơ bản,,,,Sổ đỏ/ Sổ hồng
33,2022,Cần bán,Quận 1,Bến Thành,,152.2,55,4,Đông - Bắc,Đông - Bắc,6,Đầy đủ,6,6,7,Sổ đỏ/ Sổ hồng
34,2022,Cần bán,Quận 1,Phạm Ngũ Lão,Đề Thám,69.05,45,2,Đông - Bắc,,,,,,,
35,2022,Cần bán,Quận 1,Tân Định,Trần Khắc Chân,300,115,4,Nam,Nam,15,,14,6,,Sổ đỏ/ Sổ hồng
36,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Cống Quỳnh,102,16,2,,,9,Cơ bản,5,5,5,Sổ đỏ/ Sổ hồng
37,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Nguyễn Cư Trinh,690,549,22,,,,,,22,40,
38,2022,Cần bán,Quận 1,Tân Định,Trần Quang Khải,73.1,22.5,3,,,4.3,Đầy đủ,20,3,3,Sổ đỏ/ Sổ hồng
39,2022,Cần bán,Quận 1,Tân Định,Hai Bà Trưng,249,91,8,,,,,,22,24,
40,2022,Cần bán,Quận 1,Đa Kao,Nguyễn Đình Chiểu,158,40,6,,,,,,,,Sổ đỏ/ Sổ hồng
41,2022,Cần bán,Quận 1,Tân Định,Đặng Dung,84,19,4,,,,,,,,Sổ đỏ/ Sổ hồng
42,2022,Cần bán,Quận 1,Tân Định,Đinh Công Tráng,106.4,24,,,,,,,,,Sổ đỏ/ Sổ hồng
43,2022,Cần bán,Quận 1,Tân Định,Hai Bà Trưng,55,12,5,,,,,,5,5,Sổ đỏ/ Sổ hồng
44,2022,Cần bán,Quận 1,Bến Nghé,Nguyễn Bỉnh Khiêm,75,15,6,,,,Đầy đủ,,,,Sổ đỏ/ Sổ hồng
45,2022,Cần bán,Quận 1,Tân Định,Đặng Dung,99,15,4,,,,,,8,,Sổ đỏ/ Sổ hồng
46,2022,Cần bán,Quận 1,Đa Kao,Mạc Đĩnh Chi,57,15.5,4,,,,,,3,3,Sổ đỏ/ Sổ hồng
